Actual,Predict,Path,Sampling Rate
បើសិនជាយើងមិនបានសម្អាតបរិស្ថានឲ្យវាបានស្អាតទេ ដូច្នោះអាសំរាម កាកសំណល់យើងផ្សេងៗហ្នឹង ពេលដែលភ្លៀងមកវាត្រូវដក់ទឹក,ដូចនៅសិនធ្វើយើងមុនបានសម្បានបរិស្ថានវាបានស្អាទេ ដូចឈ្នោះសំរាមកសំណល់យើងផ្សេងៗនឹងពេលដែលភ្លាងមកវាត្រូវដក់ទឹក,9_2.wav,16000
បាទ កាលណាដែលយើងមិនបានសម្អាត មិនបានមើលវាយូរៗទៅ មូសនឹងមកពងដាក់ បាទ គឺមូសខ្លាញី មូសវានឹងមកពងដាក់នៅក្នុងទឹកនោះ,ការណាដែលយើងមិនបានតំអានមួយវាសយូរយូរទៅ មុសនឹងមើបពងដាក់បាន គឺមុខខ្លាងញី។ មុសវានឹងមើលពងដាក់នៅក្នុងទឹកនោះ,9_3.wav,16000
បាទ នៅក្នុងរដូវភ្លៀង ពេលកាលណាដែលភ្លៀង វាដូចថាភ្លៀងមកជាញឹកញាប់ ភ្លៀងមករាល់ថ្ងៃ បាទ នៅតាមស្រុកស្រែ ឬមួយក៏នៅតាមជនបទភាគច្រើន,នៅក្នុងរដូវភ្លៀងពេលកាន់ដែលភ្លៀងវាដូចថាភ្លៀងមកជិញ្ញុកញាប់ភ្លៀងមករដ្ឋថៃ បាននៅតាមទ្រឹកស្រាយ ឬមួយកូនៅតាមជនបទភាគច្រើន,9_1.wav,16000
﻿សួស្តីមិត្តភក្តិទាំងអស់គ្នា ជួបជាមួយខ្ញុំម្ដងទៀតហើយក្នុងការនិយាយអំពីរដូវភ្លៀង បាទ ដូច្នេះកុំឲ្យខាតពេលយូរ ខ្ញុំសូមបកស្រាយតែម្ដង,ស៊ុស្តេងមិនភេទអស់គ្នាជួបជាមួយខ្ញុំម្ដងទៀតហើយក្នុងការនិយាយអំពីរស្តីភ្លៀង ដូច្នេះកំអើខានពេលយូរក្នុងសូមមកស្រាយតែម្ដង,9_0.wav,16000
បាទ កាលណាដែលវាពងដាក់ហើយយូរនឹងឆាប់ ដូចជារយៈពេលប៉ុន្មានថ្ងៃ វាញាស់អីអញ្ចឹងទៅ បាទ ពេលដែលវាញាស់អីអញ្ចឹងទៅ ធ្វើឲ្យវា ដូចថាបង្កើនបក្សពួកកាន់តែច្រើន,បាទ! កាលណាដែលវាពង្ដាក់ហើយយូរនឹងឆាប់ដូចគៀរយៈពេលប៉ុន្មានថ្ងៃវាញ្ញាស់អោយអញ្ចឹងទៅ ពេលដែលវាញ្ញាស់អញ្ចឹងធ្វើឲ្យវានឹង ដូចថាបង្កើនប៉ាក់ពួកហ្នឹងកាន់នៅច្រើន,9_4.wav,16000
ហើយពេលដែលយើងគេងនៅពេលថ្ងៃ គឺមូសហ្នឹងវាចូលចិត្តមកខាំណាស់ បាទ អាហ្នឹងគេហៅថាមូសខ្លាញី,ហើយពេលដែលយើងគេនៅពេលថ្ងៃគឺមុខនឹងវាចូលចិត្តម្ខាន់ណាស់ និងគេហៅថាមុខខ្លាងាយ្យ,9_5.wav,16000
ដូច្នេះជំងឺយើងគឺកាន់តែខ្លាំងឡើងៗ ហើយជំងឺដែលមូសខ្លាញីខាំនេះ គឺយើងហៅថា គ្រុនចាញ់ បាទ សូមទោស គឺជំងឺគ្រុនឈាម,ដូច្នេះជំងឺយើងគឺខាន់តែខ្លាំងឡើងហើយជំនូរដែលមុខខ្លាញ់នេះគឺយើងហើយថាគ្រុនចាញ់សំទូរគឺជំនួរគ្រុនឈាម,9_7.wav,16000
បាទ ពេលដែលវាមកខាំយើង ពេលវាមកខាំអញ្ចឹង តិចៗអញ្ចឹងអត់អីទេ ប៉ុន្តែបើសិនជាយើងទុកវាយូរវាខាំដូចថាមួយថ្ងៃបន្តិចៗ,ពេលដែលវាមខាំយើង ប៉ុន្តែមុសសិននិយើងទប់វាយូរ វាខាំមុនថ្ងៃមុនទី,9_6.wav,16000
យើងត្រូវលុបបំបាត់ អាកម្ទេចកម្ទី អាកាកសំណល់ដែលវាគួរដក់ទឹកហ្នឹង,យើងត្រូវលុបបំបាត់ កុំទេចកុំទីការសំណល់ដែលវាគួរដក់ទឹកហ្នឹង,9_15.wav,16000
បាទ ហើយម្យ៉ាងទៀត បើសិនជាយើងចង់លុបបំបាត់ កុំឲ្យយើងមានជំងឺគ្រុនចាញ់ យើងត្រូវជំងឺគ្រុនឈាម,ហើយម្យាងទៀត បើសិនជាយើងចង់លុបបំបាតក៏មិនឲ្យយើងមានជំងឺគ្រុនចាញ់យើងត្រូវជំងឺគ្រុនឈាម,9_14.wav,16000
យើងយកវាទៅកប់ ឬមួយក៏យកវាទៅដុតចោល បាទ ឬមួយក៏យើងចងថង់ដាក់វាឲ្យស្អាតអញ្ចឹងទៅ,យើងយកវាទៅកបរាមួយក៏យកវាទៅដុតចោល បានឬមួយក៏យើងចង់ថង់ដាក់វាអ្វាអ៊ីស្អារទៅ,9_16.wav,16000
ពេលឡានសំរាមមកយក យើងបោះចូលទៅក្នុងឡានសំរាមគេតែម្ដង,ពេលានសំរើមគ្នាមួយយកយើងបោះចូលទៅក្នុងឡានសំរើមគេដែរម្តង,9_17.wav,16000
តែបើសិនជា ស្ត្រីនោះមានផ្ទៃពោះផង ដូច្នេះយើងតែគប្បីពិគ្រោះជាមួយនឹង doctor ឬមួយក៏អ្នកដែលមានជំនាញច្បាស់លាស់,បើសិនជាច្រើនមានផ្ទៃពោះផងដូច្នែកយើងទៅតែគាប់បី ទៅពីគ្រោះជាមួយនឹងដុះទ័រ ឬមួយក៏អ្នកដែលមានចំណាយ ច្បាស់នោះ,9_13.wav,16000
