Actual,Predict,Path,Sampling Rate
បើសិនជាយើងមិនបានសម្អាតបរិស្ថានឲ្យវាបានស្អាតទេ ដូច្នោះអាសំរាម កាកសំណល់យើងផ្សេងៗហ្នឹង ពេលដែលភ្លៀងមកវាត្រូវដក់ទឹក,ប្រសិនជាយើងបុណ្ណបានសម្បានបរិក្សដ្ឋានអាវាបានស្អាតទេ ដូចឈ្នោះអាសំរាមកាកសំណល់យើងផ្សេងៗហ្នឹង ពេលដែលភ្លៀងមកវាត្រូវដកទឹក,9_2.wav,16000
បាទ កាលណាដែលយើងមិនបានសម្អាត មិនបានមើលវាយូរៗទៅ មូសនឹងមកពងដាក់ បាទ គឺមូសខ្លាញី មូសវានឹងមកពងដាក់នៅក្នុងទឹកនោះ,ការណាដែលយើងមិនបានទំអាត់មើលវាយូរៗទៅ មូសនឹងមកពង់ដាក់ គឺមូសក្លាញី មូសវាមឹងមកពង់ដាក់នៅក្នុងទឹកនោះ,9_3.wav,16000
បាទ នៅក្នុងរដូវភ្លៀង ពេលកាលណាដែលភ្លៀង វាដូចថាភ្លៀងមកជាញឹកញាប់ ភ្លៀងមករាល់ថ្ងៃ បាទ នៅតាមស្រុកស្រែ ឬមួយក៏នៅតាមជនបទភាគច្រើន,នៅក្នុងរដូវភ្លៀងពេលគណាដែលភ្លៀងដូចថាភ្លៀងមកជាញុកញាប់ភ្លៀងមករដ្ឋថ្ងៃបាទនៅតាមទ្រព្យស្រាយ ឬមួយក៏នៅតាមជនបទពាក្យច្រើន,9_1.wav,16000
﻿សួស្តីមិត្តភក្តិទាំងអស់គ្នា ជួបជាមួយខ្ញុំម្ដងទៀតហើយក្នុងការនិយាយអំពីរដូវភ្លៀង បាទ ដូច្នេះកុំឲ្យខាតពេលយូរ ខ្ញុំសូមបកស្រាយតែម្ដង,សួស្តែងមិនភ័ក្ដិទាំងអស់គ្នាជួបជាមួយខ្ញុំមកដងទៀតហើយក្នុងការនិយាយអំពីរដូវភ្លៀង បាទ ដូច្នេះកុំឱ្យខាត់ពេលយូរ ខ្ញុំសូមបកស្រាយតែមកដង,9_0.wav,16000
បាទ កាលណាដែលវាពងដាក់ហើយយូរនឹងឆាប់ ដូចជារយៈពេលប៉ុន្មានថ្ងៃ វាញាស់អីអញ្ចឹងទៅ បាទ ពេលដែលវាញាស់អីអញ្ចឹងទៅ ធ្វើឲ្យវា ដូចថាបង្កើនបក្សពួកកាន់តែច្រើន,កាលណាដែលវាពងដាក់ហើរយូរនឹងឆាប់ដូចជារយៈពេលពន្មានថ្ងៃវាញោះអីចឹងទៅ ពេលដែលវាញោះចឹងទៅធ្វើឱ្យវាហ្នឹងដូចថាបង្កើនបាក់ពួកនៅកាន់អ្នកច្រើប,9_4.wav,16000
ហើយពេលដែលយើងគេងនៅពេលថ្ងៃ គឺមូសហ្នឹងវាចូលចិត្តមកខាំណាស់ បាទ អាហ្នឹងគេហៅថាមូសខ្លាញី,ហើយពេលដែលយើងគេនៅពេលថ្ងៃគឺបូរហ្នឹងវាចូលចិត្តល្ខានណាស់ បើអាហ្នឹងគេហៅថាមុស្ខលាញៃ,9_5.wav,16000
ដូច្នេះជំងឺយើងគឺកាន់តែខ្លាំងឡើងៗ ហើយជំងឺដែលមូសខ្លាញីខាំនេះ គឺយើងហៅថា គ្រុនចាញ់ បាទ សូមទោស គឺជំងឺគ្រុនឈាម,ដូច្នេះ ជំងឺយើងតែខ្លាំងឡើងៗ ហើយជំងឺដែលមុខខ្លាញាយខាំនេះ យើងហៅថាគ្រុនចាញ់ បាម សំតូរគឺជំងឺគ្រុនឈាម,9_7.wav,16000
បាទ ពេលដែលវាមកខាំយើង ពេលវាមកខាំអញ្ចឹង តិចៗអញ្ចឹងអត់អីទេ ប៉ុន្តែបើសិនជាយើងទុកវាយូរវាខាំដូចថាមួយថ្ងៃបន្តិចៗ,ពេលដែលវាមកខាំយើងពេលមកខាំចឹងតិចៗអត់អ្វីទេ ប៉ុន្តែម្តិសិននៃយើងទុកវាយូរ វាយយោរ ខំទូចថាថ្ងៃន្រតិចៗ,9_6.wav,16000
យើងត្រូវលុបបំបាត់ អាកម្ទេចកម្ទី អាកាកសំណល់ដែលវាគួរដក់ទឹកហ្នឹង,យើងត្រូវលប់បំបត្តិកំទិចកំទីកាកសំណល់ដែលវាគួរដកទឹកហ្នឹង,9_15.wav,16000
បាទ ហើយម្យ៉ាងទៀត បើសិនជាយើងចង់លុបបំបាត់ កុំឲ្យយើងមានជំងឺគ្រុនចាញ់ យើងត្រូវជំងឺគ្រុនឈាម,ហើយម្យ៉ាងទៀត បើសិនជាយើងចង់លុបប្បត្តិកុំឲ្យយើងមានជំងឺខ្លួនចាញ់ យើងត្រូវជំងឺខ្លួនឈាម,9_14.wav,16000
យើងយកវាទៅកប់ ឬមួយក៏យកវាទៅដុតចោល បាទ ឬមួយក៏យើងចងថង់ដាក់វាឲ្យស្អាតអញ្ចឹងទៅ,យើងយកវាទៅកប់រដូចយកវាទៅដុតចោល បើរឹកមួយក៏យើងចងថង់ដាក់វាអេស្អាតទៅ,9_16.wav,16000
ពេលឡានសំរាមមកយក យើងបោះចូលទៅក្នុងឡានសំរាមគេតែម្ដង,ពេលឡើងសំរើមថ្ងេះមយក យើងបោះចូលទៅក្នុងឡើងសំរើមគេតែម្តង,9_17.wav,16000
តែបើសិនជា ស្ត្រីនោះមានផ្ទៃពោះផង ដូច្នេះយើងតែគប្បីពិគ្រោះជាមួយនឹង doctor ឬមួយក៏អ្នកដែលមានជំនាញច្បាស់លាស់,ប្រសិនជាស្ត្រីនៅមានផ្ទៃពួរផង ដូច្នេះយើងទៅតែគប្រប់បី ទៅពីគ្រោះជាមួយនឹងដុកទ័រ ឬមួយក៏អ្នកដែលមានជំនាយច្បាស់ដាស់,9_13.wav,16000
បាទ ហើយគ្រុនឈាមនេះដែរ បើសិនជាយើងព្យាបាលមិនទាន់ពេលវេលាទេ ធ្វើឲ្យមានគ្រោះថ្នាក់ដល់ជីវិត បាទ ធ្វើឲ្យមានគ្រោះថ្នាក់ដល់ជីវិត,ហើយគ្រាន់ឈាមីដែរ ព្រោះសិនជាយើងព្យាបាលមិនទាន់ពេលវេលាទេ ធ្វើឱ្យមានគ្រោះថ្នាក់ដល់ជីវិត,9_12.wav,16000
ទៅដោយព្រៃ បាទ ហើយសម្បូរមូសខាំ ដែលមូសព្រៃខាំ  បាទ ដែលមូលព្រៃខាំអីអញ្ចឹងទៅបានកើតជាគ្រុនចាញ់,ទៅដោយព្រៃបាទ ហើយសម្បូរ move ខាំ ដែល move ព្រៃខាំអត់មិនណាស់៎ ដែល move ព្រៃខាំអីចឹងទៅបានកើតជាគ្រត់ចែន,9_10.wav,16000
បាទ រីឯគ្រុនឈាមវិញ គឺវាបង្កបង្កើតឡើងដោយមូសខ្លាញី,រាល់ឯករុនឈាងមិញ គឺវាបង្កបង្កើតឡើងដោយមុខន្លាញាយ,9_11.wav,16000
អាថ្នាំហ្នឹងទៅយកវាមកដាក់ចូលក្នុងទឹកលោកអ្នកហ្នឹង ប្រើប្រាស់  អញ្ចឹងទៅ អញ្ចឹងអត់មានដង្កូវទឹកទេ សត្វដង្កូវទឹកហ្នឹង នឹងត្រូវងាប់អស់ បាទ,អាថ្នាំនឹងទៅយល់វាយកមកដាក់យល់នឹងទឹកផលលោកអ្នកនឹងប្លើប្រាស់ហ្នឹងទៅចឹងអត់មានដង្គូវទឹកទេ សត្វ ដង្គូវទៅនឹងត្រូវងាប់អស់,9_20.wav,16000
ហើយយើងដេកពេលថ្ងៃ អីហ្នឹង យើងត្រូវតែចងមុង ដើម្បីបង្ការកុំឲ្យមានមូសខ្លា មូសអីខាំអញ្ចឹងនាំតែកើតជំងឺ ហើយណាមួយវាមិនចំណេញទេ ធ្វើឲ្យសុខភាពយើងចុះខ្សោយផង,ហើយយើងដីពេលថ្ងៃអេហ្នឹងយើងទៅតែចង់មុខ ដើម្បីបង្កាក៏កំឲ្យមានមុះខ្លាមុះអីខាំចឹងមាំតែកើតជំងឺ ហើយណាមួយវាមិនចំណេញទេធ្វើអោយសុខភាពផលយើងចុះខ្សោយផង,9_21.wav,16000
យើងចេះមាន ទំនួលខុសត្រូវលើខ្លួនឯងច្បាស់លាស់ ដូច្នេះយើងអាចចំណេញទាំងពេលវេលា ចំណេញទាំងលុយ ហើយហ្នឹងមួយទៀត គឺយើងមានសុខភាពល្អទៀត,យើងចេះមានទំនួលខុសត្រូវលើខ្លួនឯងច្បាស់លាស់ ទោះឈ្នេះយើងអាចចំណេញទាំងពេលវេលា ចំណេញលុយហើយនឹងមួយទៀតគឺយើងមានសុខភាពល្អទៀត,9_23.wav,16000
យើងចំណាយថវិកា មួយចំនួនហ្នឹងទៅលើពេទ្យផង បាទ ដូច្នេះប្រសិនជាមាន បើសិនជាយើងមានវិធីការពារគ្រប់គ្រាន់ បាទ,យើងចំណែកថវិកាមួយចំនួយហ្នឹងទៅលើពេទ្យផង ដូច្នេះបុស្សិនជាមានវិធីការពារគ្រប់គ្រាន់,9_22.wav,16000
សម្រាប់សម្លាប់សត្វល្អិត ដូចជាដង្កូវទឹក បាទ អាហ្នឹងពេលដែលវាតូច មិនទាន់កើតជាមូសយើងហៅវាថាដង្កូវទឹក ពេលដែលវាកើតចេញជាមូសហើយ យើងហៅវាថាមូសតែម្ដង,សម្រាប់សម្លាប់សត្វល្អិតដូចជាទង្គុយទឹកហាសបាទ ពេលដែលវាតួចមិនទាន់កើតជាមួយយើងហៅវាថាទង្គុយទឹកពេលដែលវាកើតចេញជាមុោហើយ យើងថាជាមុោតែម្តង,9_19.wav,16000
បាទ ដូច្នេះខ្ញុំមានតែប៉ុណ្ណឹងទេ ដូច្នេះខ្ញុំសូមបញ្ចប់នូវរូប បាទ នូវការបកស្រាយនូវរដូវភ្លៀង បាទ តែត្រឹមនេះសិន បាទ សូមអរគុណ សូមជម្រាបលា,ដូច្នេះខ្ញុំមានតែប៉ុណ្ណឹងទេ ដូច្នេះខ្ញុំសូមបញ្ចប់នៅរូបការបកស្រាយនៅរដូវភ្លៀង ទៅទ្រង់បោះសិនបាតសូមអរគុណសូមជំនាភ្លៀង,9_24.wav,16000
បាទ ហើយ ហើយទឹកនៅក្នុងពាង ឬមួយក៏ទឹកនៅក្នុងកន្លែងផ្សេងៗដែលយើងប្រើប្រាស់ដូចជាអាងទឹក ដូចជាទឹកអីហ្នឹង យើងត្រូវដាក់ថ្នាំម្យ៉ាងគឺសម្លាប់,ហើយទឹកនៅក្នុងពាងឬមួយក៏ទឹកនៅក្នុងកន្លែងផ្ទេងៗដែលយើងប្រើប្រាប់ដូចជាអាងទឹក ដូចជាទឹកអីហ្នឹង យើងត្រូវដាក់ថ្នាំម៉្យានគឺ,9_18.wav,16000
បាទ មូសខ្លាញីហ្នឹងពេលដែល ពេលភ្លៀងធ្លាក់ឡើង គឺយើងមានជំងឺគ្រុនឈាម,បាទ មូខ្លាញីហ្នឹងពេលដែលភ្លៀងធៀក់ឡើង គឺយើងមានជំងឺគ្រុនឈាម,9_8.wav,16000
បាទ គ្រុនចាញ់និងគ្រុនឈាម គឺខុសគ្នា គ្រុនចាញ់ គឺយើងទៅតំបន់មួយដែលសម្បូរទៅដោយភ្នំ,បាទគ្រុងចាញ់នឹងគ្រុងឈាមគឺខុសគ្នា គ្រុងចាញ់គឺយើងទៅតំបន់មួយដែលសម្បូរទៅដោយភ្នំ,9_9.wav,16000
ចំណុចមួយដែលខុសគ្នាខ្លាំងមែនទែនគឺត្រង់ថា ថ្នាក់បឋមសិក្សារបស់ខ្ញុំគឺស្ថិតនៅក្បែរផ្ទះរបស់ខ្ញុំ,ដែលចិត្តបិតមួយដែលខុសគ្នាយខ្លាំងមែនទែនគឺត្រង់ថាបន្ថមិនសិក្សារបស់ខ្ញុំគឺស្ថិតនៅក្បែរផ្ទះរបស់ខ្ញុំ,11_4.wav,16000
អញ្ចឹងនៅក្នុងថ្នាក់វិទ្យាល័យរបស់ខ្ញុំ គឺខ្ញុំបានចាប់ផ្ដើមរៀនភាសាបារាំង ដែលកាលពីមុនគឺយើងអត់រៀនភាសាបារាំងទេនៅក្នុងថ្នាក់បឋមសិក្សា,ហើយនៅក្នុងថ្នាក់វិទ្យាល័យរបស់ខ្ញុំគឺខ្ញុំបានចាប់ផ្តើមរៀនភាសាបារាំង ដែលកាលពីមុនគឺយើងអត់មាននៅទៀតប៊ិសាបារាំងទេនៅខាងថ្នាក់វត្ថមសិក្សា,11_20.wav,16000
ហើយដោយសារប្រទេសខ្មែរស្ថិតនៅក្រោមអាណានិគមបារាំងកាលពីមុន អញ្ចឹងនេះគឺជាមុខវិជ្ជាមួយដែលជាភាសាបរទេសមួយដែលយើងត្រូវរៀននៅថ្នាក់វិទ្យាល័យ,ដោយសារប្រទេសខ្មែរថិតត្រូវក្រមានិគមបារាំងកាល់ពីមុន ចឹងនេះគឺជាមកវិជ្ជាមួយដែលជាពិសារបុរទេសមួយដែលឲ្យយើងទៅរៀននៅថ្នាក់វិទ្យាល័យ,11_21.wav,16000
ហើយខ្ញុំតែងតែធ្វើដំណើរដោយថ្មើរជើងគឺខ្ញុំដើរទៅសាលារៀនរៀងរាល់ថ្ងៃ,ហើយខ្ញុំតែងដែលធ្វើដំណើរដោយថ្មើរជើង គឺខ្ញុំដើរទៅសាលារៀនរាងរាល់ថ្ងៃ,11_5.wav,16000
ដែលស្ថិតនៅឆ្ងាយពីផ្ទះ មានចំងាយរហូតទៅដល់ ៧ គីឡូម៉ែត្រ,ដែលឋិត្តនៅឆ្ងារវាផ្ទះមានចម្ងាយរហូតទៅដល់ ៧ គីឡូម៉ែត្រ,11_7.wav,16000
ហើយភាសាបារាំងនេះគឺរៀនតាំងពីថ្នាក់ទី ៦ រហូតដល់ថ្នាក់ទី ១២,ភាសាបារណ៍ហើយគឺរៀនទាំងពីថ្នាក់ទី ៦ រហូតទៅដល់ថ្នាក់ទីដប់ពេល,11_23.wav,16000
អញ្ចឹងគឺមុខវិទ្យាដែលថ្មីរបស់ខ្ញុំដែលខ្ញុំបានចាប់ផ្ដើមរៀនថ្មីគឺភាសាបរទេស គឺភាសាបារាំង ដែលខ្ញុំចាប់រៀនចាប់ពីថ្នាក់ទី ៦ ទៅ,អញ្ចឹងគឺមកវិជ្ជរដ្ឋថ្មីរបស់ខ្ញុំដែលខ្ញុំបានចាប់ផ្ដើមរៀនថ្មីគឺភាសាបរទេស គឺភាសាបារាំ ខ្ញុំបានចាប់រៀនចាប់ពីខ្នាក់ទីប្រាំមួយទៅ,11_22.wav,16000
ក៏ប៉ុន្តែបន្ទាប់ពីខ្ញុំបានបន្ត ឬក៏បានបញ្ចប់ថ្នាក់បឋមសិក្សា ខ្ញុំត្រូវបន្តទៅរៀននៅថ្នាក់វិទ្យាល័យ,ក៏ប៉ុន្តែ បន្តែពីខ្ញុំបានបន្តឬក៏បានបញ្ចប់ថ្នាក់បន្ថមសិក្សា ខ្ញុំត្រូវបន្តទៅរៀននៅថ្នាក់វិទ្យាល័យ,11_6.wav,16000
ហើយនិងភាពដូចគ្នាផងដែរទៅនឹងថ្នាក់បឋមសិក្សា ថាតើថ្នាក់បឋមសិក្សា ហើយនិងថ្នាក់វិទ្យាល័យមានចំណុចអ្វីខ្លះដែលដូចគ្នា,ហើយនឹងភាពដូចគ្នាផងដែរ ហ្ទៅនឹងខ្នាក់បន្ថមសិក្សាថាតា ថ្នាក់បន្តិចខ្លះដែលដូចគ្នា,11_2.wav,16000
ហើយនិងមានចំណុចអ្វីខ្លះដែលផ្លាស់ប្ដូរ ហើយខុសពីថ្នាក់បឋមសិក្សា ហើយដូចជាខ្ញុំបានលើកមកពីមុនហើយថា,ហើយនឹងមានចំណុចឯកខ្លះដែលផ្លាស់ប្តូរ ហើយខុសពីថ្នាក់បន្ធម្មតិសិក្សា ដូចគេខ្ញុំបានលើកមកពីមុនហើយថា,11_3.wav,16000
អញ្ចឹងមុខវិជ្ជាគណិតវិទ្យា មុខវិជ្ជាជីវៈ មុខវិជ្ជាអក្សរសិល្ប៍ មុខវិជ្ជារូបវិទ្យា មុខវិជ្ជាគីមីវិទ្យា ហើយមុខវិជ្ជាគេហកិច្ច ហើយមុខវិជ្ជាមួយដែលថ្មីបំផុតនោះ គឺមុខវិជ្ជាភាសាបរទេស,អញ្ចឹងមកវិជ្ជាគណិតវិទ្យាមកវិទ្យាជីវៈ មកវិទ្យាអក្សរសើរ មកវិទ្យារូបវិទ្យាមកវិទ្យាគីមីវិទ្យា មកវិទ្យាកីហាកិច្ច មកវិទ្យាមួយដែលថ្មីបំផុត នៅគឺមកវិទ្យាភាសាបរទេស,11_19.wav,16000
ហើយការពិពណ៌នាទៅលើវិទ្យាល័យរបស់ខ្ញុំ ខ្ញុំនឹងបង្ហាញអំពីភាពខុសគ្នា,ហើយកាលពិព័រណៀទៅលើពិកពីពីរបស់ខ្ញុំខ្ញុំខ្ញុំហ្នឹងបង្ហាញំពីភាពខុសគ្នា,11_1.wav,16000
គណិតវិទ្យា ជីវវិទ្យា មុខវិជ្ជាអក្សរសិល្ប៍ ដូចជារៀនភាសាខ្មែរ រឿងនិទានអីផ្សេងៗ យើងហៅថាមុខវិជ្ជា អក្សរសិល្ប៍,គណិតវិជ្ជា ជីវៈវិជ្ជា មុខវិជ្ជា អក្សរសិល ទៅជារៀន ភាសាខ្មែរ រឿងនិទាននៃផ្សេរចឹងហាត់ មុខវិជ្ជា អក្សរសិល,11_18.wav,16000
﻿សូមជម្រាបសួរ នេះគឺជាការពិពណ៌នាបន្ថែមទៀតទៅលើប្រធានបទដែលមានចំណងជើងថា វិទ្យាល័យរបស់ខ្ញុំ,សម្រាប់សួរនេះគឺជាកាលពីព័ត៌នាបន្ថែមទៀតទៅលើប្រធាតុបទដែលមករំណងយើងថាវិត្យាល័យរបស់ខ្ញោម,11_0.wav,16000
ហើយខ្ញុំក៏សូមបញ្ចប់ការពិពណ៌នាទៅលើ មុខវិជ្ជាផ្សេងៗនៅក្នុងថ្នាក់វិទ្យាល័យរបស់ខ្ញុំដោយប៉ុណ្ណេះដែរ សូមអរគុណ,ហើយខ្ញុំក៏សមចប់កាលពិព័រណៀសទៅលើមកវិជ្ជាផ្សេងៗនៅក្នុងវិទ្យាល័យរបស់ខ្ញុំដោយប៉ុណ្ណែតដែលសិបអគុណ,11_24.wav,16000
ហើយយើងឃើញថាមុខវិជ្ជាទាំងនោះ មានរួមដូចជា មុខវិជ្ជាដែលខ្ញុំរៀននៅថ្នាក់វិទ្យាល័យមានមុខវិជ្ជា គណិតវិទ្យា។,ហើយមកវិជ្ជាច្រាប់នោះមានរួមវិជ្ជាមកវិជ្ជន័រដែលខ្ញុំរៀននៅថ្នាក់ វិជ្ជាឡើយមានមកវិជ្ជាគេ គណិតវិជ្ជា,11_15.wav,16000
ពេលដែលយើងឡើងដល់ថ្នាក់វិទ្យាល័យ គឺយើងចាប់ផ្ដើមរៀនមុខវិជ្ជានោះ,ពេលដែលយើងឡើងទៅដល់ថ្នាក់ ព្យាល័យគឺខ្ញុំចាប់ផ្ដើមរៀនមុខជានោះ,11_14.wav,16000
គណិតវិទ្យាគឺជាមុខវិជ្ជាមួយដែលផ្ដោតទៅលើលេខ យើងរៀនលេខ [ប៉ុន្តែ?]មុខវិជ្ជានេះគឺរៀនបន្ថែម ហើយកាន់តែពិបាកជាងថ្នាក់បឋមសិក្សា,ដែលបានបញ្ជា មុខបញ្ជាមួយដែលផ្ដោតទៅលើលែក យើងរៀនលែក ក្រោះទេ មុខបញ្ជានេះគឺរាបន្ថែម ហើយកាន់តែវិបាកជាងអ្នកធម្មសិក្សា,11_16.wav,16000
អញ្ចឹងមានមុខវិជ្ជាគណិតវិទ្យា មានមុខវិជ្ជាជីវវិទ្យា អញ្ចឹងជីវវិទ្យាគឺសិក្សាទៅលើជីវសាស្ត្រ ជីវិតរស់នៅ រូបរាងកាយ អញ្ចឹងគឺហៅថាមុខវិជ្ជាជីវវិទ្យា,អញ្ចឹងមានមកបញ្ជាគណិតវិជ្ជា វិក្សវិជ្ជា ហើយទៅជីវាក់វិជ្ជាសព្វសារទៅលើជីវិសាស្ត្រ ជីវិតរស់នៅរូបរាងកាយ ហើយហ្អីទៅមុខវិជ្ជាជីវិក្សវិជ្ជ,11_17.wav,16000
គឺយើងរៀនមុខវិជ្ជានឹងដដែលយើងគ្រាន់តែរៀនបន្ថែមទៀត ហើយមុខវិជ្ជាមួយចំនួនគឺថ្មីដែលមិនដែលរៀនពីមុនមកទេនៅក្នុងថ្នាក់បឋមសិក្សា,គឺយើងរៀនមកវិជ្ជានឹងរដាលទាំងតែរៀនបន្ថែមទៀត ហើយមកវិជ្ជាមកចំនួនគឺថ្មីដែលមិនដែលរៀនពីមុនមកទេរ្តេងរីក្នុងថ្នាក់បើថាប់សិក្សា,11_13.wav,16000
ហើយនិងមុខវិជ្ជានៅសាលារៀន។ មុខវិជ្ជានៅសាលារៀនគឺមានចំណុចមួយចំនួន មុខវិជ្ជាមួយចំនួនដែលបន្ត,ហើយហ្នឹងមកដូចជានៃសាលារៀនៗគឺមានចំណិត្តមួយចំនួនៗដែរ,11_12.wav,16000
ហើយខ្ញុំត្រូវធ្វើដំណើរដោយជិះកង់ ដូច្នេះខ្ញុំជិះកង់រៀងរាល់ថ្ងៃទៅសាលារៀនគឺទៅវិទ្យាល័យរបស់ខ្ញុំ,ហើយខ្ញុំត្រូវធ្វើដំណើរ ដោយជិះកង់ ជាឆ្នែកខ្ញុំជិះកង់រៀងរាល់ថ្ងៃទៅសាលារៀន គឺទៅវិទ្យាល័យរបស់ខ្ញុំ,11_8.wav,16000
ហើយចំពោះសាលារៀនវិញគឺខុសគ្នាផងដែរដែលសាលារៀនវិទ្យាល័យគឺធំជាងមុន មានសិស្សច្រើនជាងមុន ហើយអាគារក៏ស្អាតជាងមុនដែរ,ហើយចព្រោះសាលារៀនម៉ិញគឺខុសគ្នាផងដែរ សាលារៀនវិទ្យាល័យគឺធំជៀងមុនមានសេសច្រើនជៀងមុនហើយអគារក៏ស្អាតជិះមុនដែរ,11_10.wav,16000
នេះគឺជាចំណុចមួយដែលខុសគ្នាខ្លាំងមែនទែន,នេះគឺជាចំណត់បួយដែលខុសគ្នាខ្លាំងមែនទែន,11_9.wav,16000
គឺអាគារថ្មមានលក្ខណៈទំនើបជាងថ្នាក់បឋមសិក្សារបស់ខ្ញុំ ប៉ុន្តែបើយើងមើលទៅដូចជាទាក់ទងទៅនឹងមេរៀន,គឺអគារថ្មមានអ្នកខ្នាក់ទំនើបជាងថ្នាក់ពិធម្មសិក្សារបស់ខ្ញុំ តែបើយើងមើលទៅដូចជាទាក់ទងទៅហ្នឹងមេរៀន,11_11.wav,16000
