Actual,Predict,Path,Sampling Rate
បើសិនជាយើងមិនបានសម្អាតបរិស្ថានឲ្យវាបានស្អាតទេ ដូច្នោះអាសំរាម កាកសំណល់យើងផ្សេងៗហ្នឹង ពេលដែលភ្លៀងមកវាត្រូវដក់ទឹក,មុស្សិនរិយារងន្ធបានសម្បានប្រើនបានប្រើដ្ឋានអារបានស្អាតេ ដូច្នោះអាសម្រាមកាកសំណលយើងសេងហ្នឹងពេលដែលភ្លាពមកវាត្រូវដល់ទឹក,9_2.wav,16000
បាទ កាលណាដែលយើងមិនបានសម្អាត មិនបានមើលវាយូរៗទៅ មូសនឹងមកពងដាក់ បាទ គឺមូសខ្លាញី មូសវានឹងមកពងដាក់នៅក្នុងទឹកនោះ,ការដែលការណាដែលយើងមិនបានទំអានរបានមើលវាវាយូទៅមុខនឹងមពូលមកដាក់បាន គឺមុខលាងនីមុខវាមុខវាមុខវាមុខនឹងមពងដាក់នឹងទឹកនុង,9_3.wav,16000
បាទ នៅក្នុងរដូវភ្លៀង ពេលកាលណាដែលភ្លៀង វាដូចថាភ្លៀងមកជាញឹកញាប់ ភ្លៀងមករាល់ថ្ងៃ បាទ នៅតាមស្រុកស្រែ ឬមួយក៏នៅតាមជនបទភាគច្រើន,នៅក្នុងរដូវភ្លៀងពេលខាងអាដែលភ្លៀងវាដូចធាភ្លៀងមកជាញុកញាប់ភ្លៀងមករដ្ឋាយបាននៅតើមត្រូបស្រាយឬមួយខូរនៅតាងជនបទពាក្យច្រើន,9_1.wav,16000
﻿សួស្តីមិត្តភក្តិទាំងអស់គ្នា ជួបជាមួយខ្ញុំម្ដងទៀតហើយក្នុងការនិយាយអំពីរដូវភ្លៀង បាទ ដូច្នេះកុំឲ្យខាតពេលយូរ ខ្ញុំសូមបកស្រាយតែម្ដង,សួស្ដេលមួយភែតទាំងអស់គ្នាជួបជាមួយខ្ញុំមិនរៀនហើយក្នុងការនាក្យាយអំពីរដៅភ្លៀងបាន ដូច្នេះកំអាចខាន់ពេលយូរក្នុងសូរមកស្រាយតែម្នង,9_0.wav,16000
បាទ កាលណាដែលវាពងដាក់ហើយយូរនឹងឆាប់ ដូចជារយៈពេលប៉ុន្មានថ្ងៃ វាញាស់អីអញ្ចឹងទៅ បាទ ពេលដែលវាញាស់អីអញ្ចឹងទៅ ធ្វើឲ្យវា ដូចថាបង្កើនបក្សពួកកាន់តែច្រើន,កាលណាហើយូរនឹងឆាប់ដូចគារយៈពេលប៉ុន្មានថ្ងៃវាញរហើយចឹងទៅពេលដូចវាអាច្រឹងពេលវាចឹងពេលវាញាស់អញ្ចឹងធ្វើឱ្យវានឹង ឬថាបង្កើនបក្សពឞ�្សន៍នៅច្រើនបាន,9_4.wav,16000
ហើយពេលដែលយើងគេងនៅពេលថ្ងៃ គឺមូសហ្នឹងវាចូលចិត្តមកខាំណាស់ បាទ អាហ្នឹងគេហៅថាមូសខ្លាញី,ហើយពេលដែលយើងគឺនូវពេលថ្ងៃគឺមុខនឹងវាចូលចិត្តមកខាត់ណាស់បានហ្នឹងគេហើយថាមុខ្លាញី,9_5.wav,16000
ដូច្នេះជំងឺយើងគឺកាន់តែខ្លាំងឡើងៗ ហើយជំងឺដែលមូសខ្លាញីខាំនេះ គឺយើងហៅថា គ្រុនចាញ់ បាទ សូមទោស គឺជំងឺគ្រុនឈាម,ដូច្នេះជំងឺយើងគឺខាន់តែខ្លាំងឡានប្លានខ្លាំងឡើង ហើយចំនឺដែលមុខលាងនិះគឺយើងហើយថាគ្រុនចាញ់បាន សម្ទុះគឺជំងឺគ្រុនឈា,9_7.wav,16000
បាទ ពេលដែលវាមកខាំយើង ពេលវាមកខាំអញ្ចឹង តិចៗអញ្ចឹងអត់អីទេ ប៉ុន្តែបើសិនជាយើងទុកវាយូរវាខាំដូចថាមួយថ្ងៃបន្តិចៗ,ពេលដែលវាមខ្លាំយើងពេលមខ្លាំចឹងតីចឹងអាច្តើអាវន្តិចមួយសុនិយាងទុកវាយូរវាខ្លាំវិចថាមាថ្នៃទីមួយហើយតិច,9_6.wav,16000
យើងត្រូវលុបបំបាត់ អាកម្ទេចកម្ទី អាកាកសំណល់ដែលវាគួរដក់ទឹកហ្នឹង,យើងត្រូវលុបបើកំតិចគំទីអាកាកសំណល់ដែលវាគួរដប់តឹកនឹង,9_15.wav,16000
បាទ ហើយម្យ៉ាងទៀត បើសិនជាយើងចង់លុបបំបាត់ កុំឲ្យយើងមានជំងឺគ្រុនចាញ់ យើងត្រូវជំងឺគ្រុនឈាម,ហើយម៉្យើងទៀត មួយទៀតយើងចង់លុបប្បាត់កំអោយយើងមានជំងឺគ្រុនចាញយើងត្រូវចំងឺគ្រុនឈាម,9_14.wav,16000
